Date_TimeUTC,Date_TimeEU,User,Id,Source,Tweet.content,Tweet.URL,Outlinks,ReplyCount,RetweetCount,LikeCount,QuoteCount,ViewCount,Language,Hashtags,Media+,MentionedUsers,inReplyToUser,inReplyToTweetId,Year
2011-12-01 09:55:11,2011-12-01 10:55:11,elonmusk,142179928203460608,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Went to Iceland on Sat to ride bumper cars on ice!  No, not the country, Vlad's rink in Van Nuys. Awesome family fun :) http://t.co/rBQXJ9IT",https://twitter.com/elonmusk/status/142179928203460608,[],42,24,196,7,,en,,"[Photo(previewUrl='https://pbs.twimg.com/media/Afkf5DMCAAEJGFr?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Afkf5DMCAAEJGFr?format=jpg&name=large', altText=None)]",,,,2011
2011-12-01 10:29:04,2011-12-01 11:29:04,elonmusk,142188458125963296,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",I made the volume on the Model S http://t.co/wMCnT53M go to 11.  Now I just need to work in a miniature Stonehenge...,https://twitter.com/elonmusk/status/142188458125963264,['http://ow.ly/i/mtD7'],27,11,79,8,,en,,,,,,2011
2011-12-03 08:20:28,2011-12-03 09:20:28,elonmusk,142880871391838208,Twitter for iPhone,"Great Voltaire quote, arguably better than Twain. Hearing news of his own death, Voltaire replied the reports were true, only premature.",https://twitter.com/elonmusk/status/142880871391838208,[],36,33,86,6,,en,,,,,,2011
2011-12-03 08:22:07,2011-12-03 09:22:07,elonmusk,142881284019060704,Twitter for iPhone,That was a total non sequitur btw,https://twitter.com/elonmusk/status/142881284019060736,[],42,15,142,8,,en,,,,,,2011
2011-12-04 03:33:52,2011-12-04 04:33:52,elonmusk,143171132814671904,Twitter for iPhone,Am reading a great biography of Ben Franklin by Isaacson. Highly recommended.,https://twitter.com/elonmusk/status/143171132814671872,[],28,26,202,23,,en,,,,,,2011
2011-12-21 10:30:05,2011-12-21 11:30:05,elonmusk,149436471764459488,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Sam Harris also wrote a nice piece on the awesomeness of Hitchens: http://t.co/fPkLiK3v May the good man RIP.,https://twitter.com/elonmusk/status/149436471764459520,['http://www.samharris.org/blog/item/hitch/'],12,24,120,12,,en,,,,,,2011
2011-12-21 11:13:59,2011-12-21 12:13:59,elonmusk,149447517325635584,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Yeah, this really is me, as my Mom @mayemusk will attest.
Not sure I can handle just doing 140 char missives. Will put longer thoughts on G+",https://twitter.com/elonmusk/status/149447517325635584,[],24,9,58,10,,en,,,"[User(username='mayemusk', id=14171401, displayname='Maye Musk', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,2011
2011-12-21 11:00:19,2011-12-21 12:00:19,elonmusk,149444078210256896,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Got called randomly by Kanye West today and received a download of his thoughts, ranging from shoes to Moses. He was polite, but opaque.",https://twitter.com/elonmusk/status/149444078210256896,[],38,628,1704,52,,en,,,,,,2011
2011-12-21 10:26:51,2011-12-21 11:26:51,elonmusk,149435658115612704,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Read ""Lying"", the new book by my friend Sam Harris.  Excellent cover art and lots of good reasons not to lie!",https://twitter.com/elonmusk/status/149435658115612672,[],25,65,303,32,,en,,,,,,2011
2011-12-21 10:42:52,2011-12-21 11:42:52,elonmusk,149439686702661600,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Why does the crowd cry over the glorious leader Kim Il Sung's death?  Fear of being shot may play a role:  http://t.co/hoQrYtG1,https://twitter.com/elonmusk/status/149439686702661632,['http://ow.ly/86gDA'],26,11,140,20,,en,,,,,,2011
